last_name, first_name,year,outs_above_average,outs_percentage,burst,reaction,route,ft_vs_avg,ft_covered,plays,n_outs
Aoki, Norichika,2016,-2,46.9,-0.2,0.4,-0.3,0,32.9,49,23
Bautista, Jose,2016,-5,32.5,-2.4,-0.2,0.5,-2.2,29.5,40,13
Betts, Mookie,2016,13,64,0.5,1.5,-0.2,1.8,34.9,100,64
Blackmon, Charlie,2016,0,54.3,0.1,-1.3,0.5,-0.7,33.2,81,44
Blanco, Gregor,2016,-2,36.1,-0.5,0.1,-0.5,-0.9,32.3,36,13
Bourjos, Peter,2016,10,62.9,1.3,0.2,0,1.5,34.8,62,39
Bourn, Michael,2016,3,60.3,0.7,-0.6,0.4,0.4,34.4,58,35
Bradley Jr., Jackie,2016,9,53.3,0.7,3.1,-2.1,1.7,35.6,90,48
Braun, Ryan,2016,-6,38.3,-0.8,1,-0.5,-0.3,33.2,60,23
Broxton, Keon,2016,8,78.8,1.7,1.3,-0.3,2.7,36.1,33,26
Bruce, Jay,2016,-1,44,-0.3,1.5,-0.7,0.4,33.5,84,37
Burns, Billy,2016,-2,42.1,-0.4,-0.8,0.5,-0.7,32.4,38,16
Buxton, Byron,2016,8,62.5,1.2,-1.5,0.8,0.4,34.4,56,35
Cabrera, Melky,2016,-10,27.8,-2.3,-1.5,0.7,-3.1,29.6,72,20
Cain, Lorenzo,2016,6,57.3,0.5,-0.3,0.2,0.4,34.1,75,43
Calhoun, Kole,2016,-6,44,-0.4,-0.2,0.6,0,33.7,84,37
Carrera, Ezequiel,2016,0,56.4,0,-0.4,0.5,0.1,33.2,39,22
Cespedes, Yoenis,2016,-11,28.9,-1.5,-1.8,0.6,-2.7,30.8,76,22
Chisenhall, Lonnie,2016,-3,40.7,-0.2,1.1,-0.7,0.1,32.4,59,24
Conforto, Michael,2016,1,50,0,1.8,-0.8,1.1,34.2,38,19
Crisp, Coco,2016,2,47.5,1.2,1.5,0,2.7,35.7,59,28
Davis, Khris,2016,1,52.5,-0.2,0.6,0.2,0.5,33.6,40,21
Davis, Rajai,2016,1,52.3,-0.4,-1.7,0.6,-1.5,31.6,65,34
Desmond, Ian,2016,6,55.9,0.7,-1.2,0.7,0.2,34.2,93,52
Drury, Brandon,2016,-6,34.9,-1.4,1.8,-1.6,-1.2,32.5,43,15
Duvall, Adam,2016,4,57.7,-0.2,2,-1.2,0.6,33.1,71,41
Dyson, Jarrod,2016,6,70.8,1.7,-0.1,-0.1,1.6,35.4,48,34
Eaton, Adam,2016,14,63.9,0.9,1.2,-0.4,1.7,34.9,119,76
