last_name, first_name,year,outs_above_average,outs_percentage,burst,reaction,route,ft_vs_avg,ft_covered,plays,outs
Acuna Jr., Ronald,2019,0,42.6,0.1,-0.7,0.2,-0.4,33.7,61,26
Almora Jr., Albert,2019,5,54.4,0.4,0.8,-0.3,0.9,35.1,57,31
Bader, Harrison,2019,11,71.2,2.1,0.2,-0.4,2,36.1,52,37
Bellinger, Cody,2019,7,64.7,0.8,0.2,-0.2,0.8,34.4,51,33
Benintendi, Andrew,2019,-6,18.8,-1.3,-1.2,0.9,-1.7,31.4,48,9
Betts, Mookie,2019,6,57.8,-0.1,-0.2,0.5,0.2,33.7,83,48
Blackmon, Charlie,2019,-8,34.3,-1.6,-1.4,0.2,-2.8,30.8,67,23
Bradley Jr., Jackie,2019,8,56.3,0.2,2.6,-1.8,0.9,35.4,64,36
Brantley, Michael,2019,-4,29.3,-1.6,0.2,0.1,-1.2,32.3,41,12
Braun, Ryan,2019,-4,41.7,-1.9,1.2,-0.5,-1.2,32.6,48,20
Broxton, Keon,2019,7,69.8,1,0.4,-0.1,1.3,35.5,43,30
Buxton, Byron,2019,10,69.4,0,-1,0.6,-0.5,33.6,49,34
Cabrera, Melky,2019,-3,20,-3.7,-2,0.7,-4.9,28.6,30,6
Cain, Lorenzo,2019,10,62.3,0.6,0.5,-0.4,0.7,35.2,77,48
Calhoun, Kole,2019,2,42.7,-0.6,0.6,-0.8,-0.9,32.6,82,35
Canha, Mark,2019,1,54,-1,0.6,-0.3,-0.7,33.5,50,27
Castellanos, Nicholas,2019,-4,33.3,-1.9,0,-0.5,-2.4,31,60,20
Choo, Shin-Soo,2019,-8,29.3,-1.9,-1.6,0.4,-3.1,30.3,41,12
Conforto, Michael,2019,3,50.6,-0.2,0.8,-1.5,-0.8,32.3,89,45
Cordell, Ryan,2019,5,51.2,1.6,1.2,-0.3,2.4,36.2,43,22
Dahl, David,2019,0,48.1,0.4,-1.1,0.7,0,33.7,54,26
DeShields, Delino,2019,9,63.5,1.1,-1.2,0.5,0.4,34.6,63,40
Desmond, Ian,2019,-7,36.7,-0.8,-1.7,0.7,-1.8,32,49,18
Dickerson, Corey,2019,0,45.2,-0.8,0.5,0.5,0.2,32.8,31,14
Duggar, Steven,2019,3,61.5,0.3,0.4,-0.6,0.1,34.2,39,24
Dyson, Jarrod,2019,6,58.7,1.6,0.4,-0.4,1.6,35.7,46,27
Eaton, Adam,2019,0,46.1,0,1.1,-0.6,0.5,34,76,35
Engel, Adam,2019,6,63.3,1.5,-1.1,0.6,1,35,30,19
Fowler, Dexter,2019,-3,36.5,-1.4,-1.1,-0.2,-2.8,31.2,52,19
Garcia, Avisail,2019,4,62.5,-0.9,-0.3,0.4,-0.8,33,40,25
Garcia, Leury,2019,4,47.2,1.1,0.3,0.4,1.7,35.8,53,25
Gardner, Brett,2019,0,42.6,-0.1,-0.7,0.6,-0.3,33.6,68,29
Goodwin, Brian,2019,2,52.4,0,0,-0.4,-0.4,33.5,42,22
Gordon, Alex,2019,-4,38.5,-1.5,-0.8,0.7,-1.6,31.8,65,25
Granderson, Curtis,2019,-3,42.5,-1.8,0,0,-1.8,31.7,40,17
Grichuk, Randal,2019,4,51.8,-0.5,-1.8,0.8,-1.1,32.5,56,29
Grossman, Robbie,2019,1,49.2,0.2,0.7,-0.2,0.7,34.2,61,30
Hamilton, Billy,2019,4,59.6,0.6,0.2,-0.2,0.6,35.3,52,31
Haniger, Mitch,2019,1,45.2,-0.6,-0.1,0.5,-0.2,33.1,31,14
Harper, Bryce,2019,1,46.7,-0.1,-0.8,0.3,-0.6,32.9,75,35
Heredia, Guillermo,2019,4,60,1.1,1.2,-0.4,1.9,35.9,30,18
Hernandez, Teoscar,2019,0,46.9,-1,-0.6,0.7,-0.9,32.9,49,23
Heyward, Jason,2019,8,55.6,0.7,0.4,-0.2,0.8,34.5,63,35
Jimenez, Eloy,2019,-6,35.7,-1.6,-0.6,0.6,-1.5,32.6,42,15
Jones, Adam,2019,-6,28.8,-2.6,-0.9,0.4,-3,29.8,52,15
Jones, JaCoby,2019,-1,38.3,-1.2,-0.7,-0.4,-2.3,31.9,47,18
Judge, Aaron,2019,4,63.2,-0.4,-1.7,0.7,-1.4,31.7,38,24
Kepler, Max,2019,5,57.1,-0.2,-0.7,0.9,0,34.1,56,32
Kiermaier, Kevin,2019,14,68.3,2.4,1.1,0.1,3.7,38.6,60,41
Lagares, Juan,2019,4,50,0.5,0.8,-0.7,0.7,35.2,44,22
Laureano, Ramon,2019,-4,41.9,0.4,1.8,-1.2,1,35.5,62,26
Locastro, Tim,2019,2,56.3,-0.7,0.2,-0.6,-1.1,32.1,32,18
Mancini, Trey,2019,-6,41.5,-2.3,-0.2,-0.1,-2.6,30.8,41,17
Margot, Manuel,2019,7,61,0.7,1.2,-0.5,1.4,36.4,59,36
Marisnick, Jake,2019,7,65.9,1.6,-0.3,-0.1,1.2,35.1,41,27
Markakis, Nick,2019,-2,45.7,-1.3,-0.1,-0.5,-1.9,31.9,46,21
Marte, Ketel,2019,-1,39.4,-0.5,-0.3,-0.4,-1.3,32.9,33,13
Marte, Starling,2019,6,50.7,0.7,-0.4,0.6,1,35.1,69,35
Martin, Leonys,2019,-1,43.8,-1.2,1.3,-1.5,-1.4,32.5,32,14
Martinez, Jose,2019,-7,25.6,-2.2,-0.5,-0.1,-2.8,31.2,43,11
Mazara, Nomar,2019,0,47.8,-1.6,-0.5,0.3,-1.8,31.5,46,22
McNeil, Jeff,2019,-4,36.7,0.2,0.1,-0.2,0.1,34.1,30,11
Meadows, Austin,2019,1,54.1,0.3,-1.6,0.7,-0.6,32.8,37,20
Mercado, Oscar,2019,5,59.3,-0.2,1.1,-0.6,0.4,33.9,54,32
Merrifield, Whit,2019,0,46.3,-1.4,-0.6,-0.2,-2.2,31.5,41,19
Myers, Wil,2019,1,49.1,0.2,-1.5,0.7,-0.6,34,55,27
Naquin, Tyler,2019,0,53.7,-0.8,-1,0.2,-1.6,31.8,41,22
Ozuna, Marcell,2019,-5,34.9,-1.8,0,-0.2,-2,31.3,43,15
Pederson, Joc,2019,2,47.7,-0.8,0.3,-0.5,-1,32.3,44,21
Peralta, David,2019,0,44.2,-0.8,-0.1,0,-0.9,32.7,52,23
Pham, Tommy,2019,-8,29.4,-0.8,-0.8,-0.1,-1.6,31.9,51,15
Pillar, Kevin,2019,5,52.3,-1.1,-0.3,0.7,-0.7,33.8,88,46
Piscotty, Stephen,2019,0,45.7,-1,-1.2,0.3,-1.9,31.8,35,16
Puig, Yasiel,2019,1,36.7,-1.8,-1.3,0.4,-2.7,29.6,60,22
Ramirez, Harold,2019,-3,34.9,-1.6,-0.4,0,-2,31.6,43,15
Reddick, Josh,2019,0,49,-0.7,0.5,0.5,0.3,34,51,25
Renfroe, Hunter,2019,4,53.2,-0.4,0.6,-0.5,-0.4,33.6,62,33
Reyes, Franmil,2019,0,51.2,-2.2,-0.1,0.3,-2,32.2,43,22
Reynolds, Bryan,2019,1,44.8,0.2,-1,0.7,-0.1,33.4,58,26
Robles, Victor,2019,15,66.7,0.7,0.2,-0.4,0.7,34.7,75,50
Rosario, Eddie,2019,-11,23.5,-1.4,-0.8,0.1,-2,31.2,51,12
Santana, Domingo,2019,-10,28.6,-2.6,-1.1,0.3,-3.5,29.7,56,16
Santander, Anthony,2019,-3,36.8,-1.1,-1.1,0.6,-1.7,32.4,38,14
Schwarber, Kyle,2019,-7,29.2,-1.3,-0.6,0.1,-1.8,31.1,48,14
Senzel, Nick,2019,1,48.1,0.5,-0.8,0.4,0.1,34.4,52,25
Smith Jr, Dwight,2019,-6,34.9,-2.4,-0.4,0,-2.9,30.6,43,15
Smith, Mallex,2019,10,61.1,0.9,0.3,0.1,1.3,35.4,72,44
Soler, Jorge,2019,-1,35.3,-2,-0.9,0.3,-2.7,30.3,34,12
Soto, Juan,2019,3,56.7,-0.2,1.1,-0.6,0.3,33.8,67,38
Springer, George,2019,4,56.1,0.5,0.7,-0.6,0.7,34.4,41,23
Stewart, Christin,2019,-5,25.7,-1.4,-0.5,-0.2,-2.1,30.9,35,9
Tapia, Raimel,2019,4,57.1,0.8,-0.5,0.3,0.6,33.9,56,32
Tauchman, Mike,2019,7,65.9,0.3,0.1,0.2,0.6,34.2,41,27
Trout, Mike,2019,-3,44.2,-0.1,-2.6,0.9,-1.8,32.5,77,34
Verdugo, Alex,2019,2,47.1,0.4,0.7,-1.4,-0.3,33.9,34,16
Winker, Jesse,2019,-9,35.9,-2.1,-1.3,0.2,-3.2,30.2,39,14
Yastrzemski, Mike,2019,2,41.3,0.5,-0.5,0.5,0.5,34.3,46,19
Yelich, Christian,2019,-7,31.7,-2,-1.5,0.7,-2.8,30.6,60,19
